Book_Series,Author,Original_Language,No_of_Installments,Years_of_Publication,Approximate_Sales,Genre_1,Genre_2
The Shadowhunter Chronicles,Cassandra Clare,English,14 + 8 companion books,2007–present,50 million[255]
Earth's Children,Jean M. Auel,English,6,1980–2011,45 million[256]
A Child's First Library of Learning,Various authors,English,29,1980–,45 million[257]
Junie B. Jones,Barbara Park,English,30,1992–2013,44 million[258]
Harry Bosch,Michael Connelly,English,15,1992–,42 million[259]
Harry Hole,Jo Nesbø,Norwegian,13,1997–present,40 million[260]
Warriors,Erin Hunter,English,78,2003–present,40 million[261]
连环画 铁道游击队 (Picture-and-story book Railway Guerilla),original author: Liu Zhixia [zh],Chinese,10,1955–1962,36.52 million[262]
かいけつゾロリ (Kaiketsu Zorori),Yutaka Hara,Japanese,60,1987–present,35 million[263]
Paddington Bear,Michael Bond,English,70,1958–present,35 million[264]
Animorphs,K A Applegate and ghostwriters,English,54,1996-2001,35 million[265]
Divergent trilogy,Veronica Roth,English,3 + 1 companion book,2011–2013,35 million[266]
ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33.6 million[267]
グイン・サーガ (Guin Saga),Kaoru Kurimoto, Yu Godai,Japanese,149,1979–2024,33 million[268]
The Inheritance Cycle,Christopher Paolini,English,5 + 1 companion book,2002–2023,33 million[269]
Rich Dad, Poor Dad,Robert Kiyosaki, Sharon Lechter,English,18,1997–,32 million[270]
とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004–,30 million[271]
徳川家康 [ja] (Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30 million[272]
Ramona,Beverly Cleary,English,8,1955–1999,30 million[273]
The Dark Tower,Stephen King,English,8,1982–2012,30 million[274]
Dork Diaries,Rachel Renée Russell,English,15,2009–2018,30 million[275]
The Destroyer,Warren Murphy and Richard Sapir, various authors,English,150,1971–present,30 million[276]
